OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327916"",""ED-GRANTS-070120-001"")","OSERS: OSEP: National Center to Improve Faculty Capacity to Use Educational Technology in Special Education, Early Intervention, and Related Services Personnel Preparation and Leadership Personnel Preparation Programs CFDA Number 84.327F",ED,Department of Education,500000,1,"Julius C Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
julius.cotton@ed.gov
Program Manager:
Celia Rosenquist, 
U.S. Department of Education, 
400 Maryland Avenue, SW, room 5158, 
Potomac Center Plaza, 
Washington, DC 20202-5076.  
Telephone:  (202) 245-7373.  Email:  Celia.Rosenquist@ed.gov.",,Celia.Rosenquist@ed.gov.,,,07/01/2020,08/21/2020,07/01/2020 08:40:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327913"",""DOS-WHK-SSH-FY20"")",U.S. Ambassador’s Special Self-Help FY 2020,DOS-NAM,U.S. Mission to Namibia,50000,300,"Megan H Lim-Silver
Grantor
Phone 264 612948544",,whkselfhelp@state.gov,,,07/01/2020,03/31/2021,07/01/2020 05:12:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327957"",""PAUPDFY20008"")",Private Sector Engagement Initiatives,DOS-JER,U.S. Mission to Jerusalem,,,Will Holton,,jerusalempdjapplication@state.gov,,,07/01/2020,08/17/2020,07/01/2020 10:26:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327952"",""DOS-NGA-PD-ABV-FY20-006"")",U.S. Embassy Abuja Northwest Programs,DOS-NGA,U.S. Mission to Nigeria,,,"U.S. Embassy Abuja
Public Affairs Section",,PASAbujaGrants@state.gov,,,07/01/2020,07/31/2020,07/01/2020 10:59:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327954"",""PAR-20-249"")",NIDA Mentored Clinical Scientist Development Program Award in Substance Use and Substance Use Disorder Research (K12 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/01/2020,11/15/2023,07/01/2020 12:14:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327944"",""EPA-R4-SFL-2020-01"")",2020 SOUTH FL GEOGRAPHIC INITIATIVE,EPA,Environmental Protection Agency,3000000,20,"Ms. Jennifer Shadle or

Mr. Steven Blackburn
phone: (404) 562-9397
email: blackburn.steven@epa.gov",,shadle.jennifer@epa.gov,,,07/01/2020,08/07/2020,07/01/2020 13:42:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326600"",""HRSA-21-031"")",Healthy Tomorrows Partnership for Children Program (HTPCP),HHS-HRSA,Health Resources and Services Administration,500000,10,"Department of Health and Human Services, Health Resources and Services Administration
Mreddy@hrsa.gov",,Mreddy@hrsa.gov,,,07/01/2020,10/06/2020,07/01/2020 13:22:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327980"",""BJA-2020-17372"")","BJA FY 20 State, Local, Tribal, and Territorial Information Sharing Technical Assistance Program",USDOJ-OJP-BJA,Bureau of Justice Assistance,300000,1,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via email to support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How To Apply (Grants.gov) section in the OJP Grant Application Resource Guide. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.

support@grants.gov",,support@grants.gov,,,07/01/2020,07/31/2020,07/01/2020 16:16:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327977"",""NOT-FAS-2020-02"")",Notice of funding strategy for Market Access Program and Foreign Market Development Cooperator Program,USDA-FAS-GP-10600,Foreign Market Development Cooperator Prog 10600,200000000,0,"Eric Bozoian
Grants Management Specialist",2023781054,eric.bozoian@fas.usda.gov,07/01/2020,07/01/2020,07/01/2020,,07/01/2020 14:11:01,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327975"",""CNCS-07-01-20"")",FY 2021 RSVP Competition,CNCS,Corporation for National and Community Service,17800000,236,2021RSVP@cns.gov,,2021RSVP@cns.gov,,,07/01/2020,09/01/2020,07/01/2020 13:58:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327965"",""LB21-FY21"")",Laura Bush 21st Century Library Program (2021),IMLS,Institute of Museum and Library Services,8000000,25,"Jill Connors-Joyner, Senior Program Officer 202-653-4791 jconnors-joyner@imls.gov;  Sarah Fuller, Senior Program Officer 202-653-4783 sfuller@imls.gov: James Neal, Senior Program Officer 202-653-4740 jneal@imls.gov; Ashley Sands, PhD, Senior Program Officer 202-653-4730 asands@imls.gov
imls-librarygrants@imls.gov",,imls-librarygrants@imls.gov,,,07/01/2020,10/02/2020,07/01/2020 16:02:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327961"",""NOT-FAS-2020-01"")",Notice of funding strategy for Market Access Program and Foreign Market Development Cooperator Program,USDA-FAS-GP-10601,Market Access Program 10.601,200000000,0,"Eric Bozoian
Grants Management Specialist",2023781054,eric.bozoian@fas.usda.gov,07/01/2020,07/01/2020,07/01/2020,,07/01/2020 13:40:01,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327895"",""PAS-NEWZEALAND-2020-04"")",Young Pacific Leaders Conference 2021,DOS-NZL,U.S. Mission to New Zealand,250000,20,"Tracey Zemanek
Grantor
Phone 6444626122",,publicaffairsusnz@state.gov,,,06/30/2020,08/14/2020,06/28/2020 18:07:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327931"",""DE-FOA-0002329"")",ASSISTING FEDERAL FACILITIES WITH ENERGY CONSERVATION TECHNOLOGIES (AFFECT) 2020,DOE-GFO,Golden Field Office,11000000,22,AFFECT2020@ee.doe.gov,,AFFECT2020@ee.doe.gov,,,06/30/2020,07/31/2020,06/30/2020 11:25:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327906"",""PA-20-247"")",Ruth L. Kirschstein National Research Service Award (NRSA) Individual Senior Fellowship (Parent F33),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/30/2020,05/07/2023,06/30/2020 12:17:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327943"",""PA-20-248"")",Ruth L. Kirschstein National Research Service Award (NRSA) Individual Fellowship for Students at Institutions with NIH-Funded Institutional Predoctoral Dual-Degree Training Programs (Parent F30),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/30/2020,05/07/2023,06/30/2020 13:12:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327930"",""72DFFP20RFA00005"")",2020-IFRP-TRANSPORT-RFA,USAID,Agency for International Development,2000000,20,"Benjamin Vogler
IFRP Program Manager",,IFRP@usaid.gov,,,06/30/2020,07/30/2020,07/16/2020 20:20:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327918"",""RFA-EB-20-001"")",BRAIN Initiative: Proof of Concept Development of Early Stage Next Generation Human Brain Imaging (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,4000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/29/2020,09/03/2021,06/29/2020 11:44:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327925"",""RFA-DA-21-024"")",PrEP for HIV Prevention among Substance Using Populations (R01 - Clinical Trial Optional),HHS-NIH11,National Institutes of Health,2500000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/29/2020,11/12/2020,06/29/2020 14:36:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327922"",""PAR-20-250"")",NICHD Research Education Programs (R25 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/29/2020,05/25/2022,06/29/2020 13:55:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327928"",""RFA-EB-20-002"")","BRAIN Initiative:  Theories, Models and Methods for Analysis of Complex Data from the Brain (R01 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,6000000,15,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/29/2020,09/14/2021,06/29/2020 16:06:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327926"",""PA-20-245"")",Ruth L. Kirschstein National Research Service Award (NRSA) Individual Fellowship for Students at Institutions Without NIH-Funded Institutional Predoctoral Dual-Degree Training Programs (Parent F30),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/29/2020,05/07/2023,06/29/2020 15:56:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327900"",""PA-20-246"")",Ruth L. Kirschstein National Research Service Award (NRSA) Individual Predoctoral Fellowship (Parent F31),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/29/2020,08/08/2023,06/29/2020 15:14:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327917"",""NNH20ZDA001N-OCOST"")",ROSES 2020: Science Team for the OCO Missions,NASA-HQ,NASA Headquarters,,,"Kenneth W. Jucks 
Earth Science Division
Science Mission Directorate
NASA Headquarters 
Washington, DC 20546-0001
     Telephone: 202-358-0476
     Email: kenneth.w.jucks@nasa.gov",,kenneth.w.jucks@nasa.gov,,,06/29/2020,01/13/2021,06/29/2020 09:48:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327877"",""ED-GRANTS-062920-001"")",Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities and Demonstration and Training Programs: National Technical Assistance Center on Transition for Students and Youth with Disabilities CFDA Number 84.326E,ED,Department of Education,4100000,1,"Julius C Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
julius.cotton@ed.gov
Program Managers:
Selete Avoke, 
U.S. Department of Education, 
400 Maryland Avenue, SW, room 5002, Potomac Center Plaza, 
Washington, DC 20202-5076.  
Telephone:  (202) 245-7260.  Email:  Selete.Avoke@ed.gov.  Or 
Kristen Rhinehart-Fernandez, 
U.S. Department of Education, 
400 Maryland Avenue, SW, room 5094, Potomac Center Plaza, 
Washington, DC 20202-5076.  
Telephone:  (202) 245-6103.  Email:  Kristen.Rhinehart@ed.gov.",,Selete.Avoke@ed.gov,,,06/29/2020,08/28/2020,06/29/2020 08:24:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327927"",""TASHKENT-FY20-02"")",Enhancing Fiscal Transparency through Improved Oversight of Uzbekistan’s National Budget,DOS-UZB,U.S. Mission to Uzbekistan,,1,"Eric Salzman,",,SalzmanEA@state.gov,,,06/29/2020,08/21/2020,06/29/2020 16:04:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327854"",""PAUPDFY20006"")",Sustainable U.S. and Palestinian Higher Education Partnerships,DOS-JER,U.S. Mission to Jerusalem,,,"Elie M Teichman
Grantor",,JerusalemPDJApplications@state.gov,,,06/26/2020,08/10/2020,06/26/2020 14:51:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327858"",""RFA-DE-21-001"")",Characterizing causal mechanisms to prevent dental fear and anxiety (R01 Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/26/2020,11/25/2020,06/26/2020 12:46:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327846"",""DOS-PAS-SLO-2020-003"")",FY 2020 Notice of Funding Opportunity: NGO Small Grants Program,DOS-SVN,U.S. Mission to Slovenia,100000,10,"Tanja Sustarsic
Program Assistant
Phone 38612005685",,LjubljanaNGOGrants@state.gov,,,06/26/2020,08/17/2020,06/26/2020 05:43:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327832"",""DOS-PAS-SLO-2020-004"")",FY 2020 Notice of Funding Opportunity: Cultural Grants Program,DOS-SVN,U.S. Mission to Slovenia,100000,20,"Mateja Juric
Cultural Assistant
Phone 38612005500",,CulturalGrantsLju@state.gov,,,06/26/2020,08/17/2020,06/26/2020 05:53:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327835"",""F20AS00159"")",Highlands Conservation Act Grant Program – Competitive Funding,DOI-FWS,Fish and Wildlife Service,5064884,,"Shelley Dibona
shelley_dibona@fws.gov",,shelley_dibona@fws.gov,,,06/25/2020,08/03/2020,06/25/2020 08:22:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327813"",""ND-NOFO-20-115"")",U.S. Embassy New Delhi North India Office PAS Annual Program Statemen,DOS-IND,U.S. Mission to India,250000,,"Grant Applications Manager
U.S. Embassy, New Delhi",,ND_GrantApplications@state.gov,,,06/25/2020,12/31/2020,06/25/2020 02:14:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327831"",""PAR-20-244"")",Interactive Digital Media STEM Resources for Pre-College and Informal Science Education Audiences (SBIR) (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/25/2020,09/02/2022,06/25/2020 12:37:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327830"",""PAR-20-239"")",Interactive Digital Media STEM Resources for Pre-College and Informal Science Education Audiences (STTR) (R41/R42  Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/25/2020,09/02/2022,06/25/2020 12:32:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327837"",""NNH20ZDA001N-DARTPS"")",ROSES 2020: Double Asteroid Redirection Test (DART) Participating Scientist Program,NASA-HQ,NASA Headquarters,,,"Thomas S. Statler
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Email: thomas.s.statler@nasa.gov
Telephone: (202) 774-0272",,thomas.s.statler@nasa.gov,,,06/25/2020,09/24/2020,06/25/2020 11:32:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327856"",""PAR-20-243"")","Digital Healthcare Interventions to Address the Secondary Health Effects Related to Social, Behavioral, and Economic Impact of COVID-19 (R01 - Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/25/2020,03/02/2021,06/26/2020 12:20:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327850"",""PAR-20-240"")",NIH Neuroscience Development for Advancing the Careers of a Diverse Research Workforce (R25 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/25/2020,09/26/2022,06/26/2020 10:01:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327844"",""HRSA-21-004"")",Service Area Competition,HHS-HRSA,Health Resources and Services Administration,4035972,2,"Department of Health and Human Services, Health Resources and Services Administration
BPHCSAC@hrsa.gov",,BPHCSAC@hrsa.gov,,,06/25/2020,08/24/2020,06/25/2020 14:20:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327841"",""F20AS00184"")",Region 5 White-Nose Syndrome Grants to States and Tribes,DOI-FWS,Fish and Wildlife Service,,,"Dr. Jonathan Reichard
Jonathan_Reichard@fws.gov",,Jonathan_Reichard@fws.gov,,,06/25/2020,08/25/2020,06/25/2020 12:00:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327839"",""F20AS00183"")",Region 5 White-Nose Syndrome Research Grants,DOI-FWS,Fish and Wildlife Service,,,"Dr. Jonathan Reichard
Jonathan.Reichard@fws.gov",,Jonathan.Reichard@fws.gov,,,06/25/2020,08/25/2020,06/25/2020 12:12:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327843"",""20200812-TT"")",Short Documentaries,NEH,National Endowment for the Humanities,2500000,9,"Division of Public Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8269
publicpgms@neh.gov",,publicpgms@neh.gov,,,06/25/2020,01/06/2021,07/09/2020 11:38:09,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327836"",""20200812-TD-TR"")",Media Projects,NEH,National Endowment for the Humanities,3500000,12,"Division of Public Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8269
publicpgms@neh.gov",,publicpgms@neh.gov,,,06/25/2020,01/06/2021,07/09/2020 11:34:09,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327828"",""RBCS-SDGG-2020"")",Socially Disadvantaged Groups Grant,USDA-rbcs,Business and Cooperative Programs,3000000,30,"Program Management Division
Phone 202-720-1400",,arti.kshirsagar@usda.gov,,,06/25/2020,08/10/2020,07/13/2020 09:50:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327824"",""PAS-DKR-NOFO-FY20-03"")",University Partnerships Initiative,DOS-SEN,U.S. Mission to Senegal,75000,1,Mission Dakar Public Affairs Grants Management Team,,PASmallgrant@state.gov,,,06/24/2020,07/24/2020,06/24/2020 13:51:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327812"",""PAR-20-241"")",Large scale mapping and/or molecular profiling of ensembles and/or cell-types mediating opioid action in the rodent brain (R01 - Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,2000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,06/24/2020,10/30/2020,06/24/2020 14:41:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327601"",""USDA-FS-2021-LSR"")",Forest Service Northeast and Midwest Landscape Scale Restoration 2021,USDA-FS,Forest Service,4000000,15,"Sherri Wormstead
Sustainability and Planning Coordinator
Phone 603-742-6712",,sherri.j.wormstead@usda.gov,,,06/23/2020,09/17/2020,06/22/2020 19:56:22,Synopsis 6,
